,Name,Apps,Mins,Mins/Gm,Height,Weight,Age,Av Rat,Gls,Gls/90,Shot %,Pen/R,xG,Ch C/90,Asts/90,K Ps/90,Pas %,Cr C/A,Drb/90,Distance,Hdr %,K Tck,Fls,Int/90,Clear,Con/90,xSv %,Sv %,Svh,Svt,Svp,Pens Saved Ratio,PoM,Aer A/90,Off,Based,Tck R,CA,Saves,Saves/xSv%,Gls/xG,Dist/Mins,Transfer Value,Value
0,Josip Mijatović,12.0,809.0,67.41666666666667,173.0,68.0,20,7.14,1.0,0.11,0.67,0.0,0.18,0.0,0.22,1.78,0.92,0.3,0.11,102.6,0.73,0.0,13.0,1.45,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.45,0.0,Croatia (3. HNL Zapad),0.88,84,0.0,0.0,5.555555555555555,0.126823238566131,€3K - €9K,6000.0
1,Duje Ninčević,15.0,1161.0,77.4,172.0,69.0,25,6.84,0.0,0.0,0.38,0.0,0.56,0.08,0.39,1.09,0.9,0.75,0.16,150.3,0.71,0.0,19.0,1.47,46.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.26,0.0,Croatia (3. HNL Jug),0.76,79,0.0,0.0,0.0,0.1294573643410853,€0 - €2.5K,1250.0
2,Marin Karabatić,15.0,1350.0,90.0,170.0,62.0,22,6.9,0.0,0.0,0.1,0.0,3.31,0.14,0.0,0.73,0.89,0.28,0.33,172.8,0.79,7.0,21.0,2.93,78.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.73,0.0,Croatia (3. HNL Jug),0.77,87,0.0,0.0,0.0,0.128,€0 - €12K,6000.0
3,Vicko Ševelj,20.0,1738.0,86.9,192.0,86.0,22,7.15,1.0,0.05,0.3,0.0,0.42,0.0,0.26,0.31,0.87,0.15,0.05,101.9,0.8,2.0,17.0,1.4,74.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.75,1.0,Bosnia & Herzegovina (Liga 12),0.88,95,0.0,0.0,2.380952380952381,0.058630609896432685,€100K - €1M,550000.0
4,Fran Vujnović,15.0,1384.0,92.26666666666667,190.0,77.0,19,7.23,4.0,0.26,0.33,0.0,0.0,0.0,0.13,0.0,0.8,0.0,0.0,22.2,0.63,0.0,14.0,0.39,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.56,0.0,Croatia (3. HNL Istok),0.93,83,0.0,0.0,0.0,0.016040462427745664,€14K - €150K,82000.0
5,Šimun Mikolčić,15.0,1380.0,92.0,180.0,70.0,18,7.32,1.0,0.07,0.33,0.0,0.04,0.0,0.2,0.07,0.78,0.0,0.07,18.8,0.5,0.0,20.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26,0.0,Croatia (3. HNL Istok),0.75,81,0.0,0.0,25.0,0.013623188405797102,€35K - €350K,192500.0
6,Romano Lisjak,16.0,1440.0,90.0,188.0,80.0,21,6.96,1.0,0.06,0.31,0.0,1.18,0.5,0.19,0.25,0.9,1.0,0.0,145.9,0.74,1.0,15.0,3.12,160.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,16.06,0.0,Croatia (3. HNL Istok),0.77,78,0.0,0.0,0.8474576271186441,0.10131944444444445,€0 - €50K,25000.0
7,Dominik Ivkič,15.0,1350.0,90.0,190.0,78.0,25,6.87,2.0,0.13,0.4,0.0,0.64,0.0,0.0,0.13,0.84,1.0,0.07,128.9,0.88,2.0,11.0,2.47,149.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.33,1.0,Croatia (3. HNL Zapad),0.8,94,0.0,0.0,3.125,0.09548148148148149,€0 - €14K,7000.0
8,Bruno Župan,11.0,943.0,85.72727272727273,172.0,66.0,22,7.03,1.0,0.1,0.5,0.0,0.36,0.11,0.0,0.86,0.94,0.18,0.29,125.1,0.8,0.0,18.0,3.53,64.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.64,2.0,Croatia (Druga HNL),0.84,81,0.0,0.0,2.7777777777777777,0.13266171792152703,€1.5K - €4.5K,3000.0
9,Mislav Komorski,11.0,977.0,88.81818181818181,190.0,80.0,30,6.96,0.0,0.0,0.2,0.0,0.36,0.2,0.0,0.28,0.91,0.0,0.0,114.2,0.79,4.0,14.0,3.04,121.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,18.24,0.0,Croatia (Druga HNL),0.85,85,0.0,0.0,0.0,0.11688843398157625,€0 - €12K,6000.0
10,Sacha Marasović,16.0,1098.0,68.625,169.0,65.0,24,7.09,1.0,0.08,0.31,0.0,1.09,0.59,0.49,1.31,0.91,0.28,0.33,135.5,0.69,0.0,13.0,1.07,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.51,0.0,Croatia (3. HNL Zapad),0.86,85,0.0,0.0,0.9174311926605504,0.12340619307832422,€0 - €14K,7000.0
11,Dominik Mulac,11.0,990.0,90.0,184.0,70.0,23,6.96,3.0,0.27,0.32,0.0,1.5,0.0,0.09,0.27,0.92,0.0,0.09,107.7,0.65,5.0,5.0,3.18,104.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,13.45,0.0,Croatia (Druga HNL),1.0,100,0.0,0.0,2.0,0.1087878787878788,€8K - €26K,17000.0
12,Gerald Diyoke,16.0,1423.0,88.9375,175.0,69.0,26,6.87,1.0,0.06,0.43,1.0,0.58,0.43,0.19,0.89,0.89,0.18,0.13,184.1,0.66,0.0,29.0,0.89,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.79,0.0,4.05,0.0,Croatia (3. HNL Istok),0.79,89,0.0,0.0,1.7241379310344829,0.12937456078706958,€0 - €28K,14000.0
13,Jakov Karabatić,13.0,1095.0,84.23076923076923,197.0,90.0,22,6.68,0.0,0.0,0.0,0.0,0.37,0.1,0.0,0.08,0.9,0.0,0.08,110.2,0.85,0.0,17.0,2.63,119.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.82,1.0,Croatia (Druga HNL),0.91,89,0.0,0.0,0.0,0.1006392694063927,€18K - €190K,104000.0
14,Ivan Težački,11.0,990.0,90.0,189.0,83.0,20,7.35,3.0,0.27,0.4,0.0,0.15,0.0,0.09,0.36,0.82,0.3,0.27,57.6,0.88,0.0,5.0,1.18,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.73,1.0,Croatia (Regionalne Lige - Sibenik),0.85,76,0.0,0.0,20.0,0.05818181818181818,€12K - €120K,66000.0
15,Matej Jukić,15.0,1250.0,83.33333333333333,184.0,80.0,25,6.89,3.0,0.22,0.35,1.0,2.15,0.29,0.07,0.79,0.91,0.4,0.14,177.7,0.7,0.0,20.0,1.44,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.79,2.0,6.05,0.0,Croatia (3. HNL Jug),0.79,92,0.0,0.0,1.3953488372093024,0.14215999999999998,€1K - €12K,6500.0
16,Josip Rakić,15.0,1206.0,80.4,180.0,73.0,23,6.61,0.0,0.0,0.47,0.0,1.3,0.32,0.22,1.12,0.9,0.25,0.15,185.5,0.41,0.0,6.0,0.97,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.1,0.0,Croatia (Prva HNL),0.78,93,0.0,0.0,0.0,0.15381426202321724,€3K - €9K,6000.0
17,Patrice Zoungrana,11.0,972.0,88.36363636363636,169.0,64.0,27,6.91,1.0,0.09,0.25,0.0,0.81,0.12,0.19,2.22,0.86,0.21,0.65,142.8,0.37,0.0,15.0,1.2,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.74,2.0,Croatia (Druga HNL),0.75,82,0.0,0.0,1.2345679012345678,0.1469135802469136,€1K - €10K,5500.0
18,Tomislav Valentić,14.0,1037.0,74.07142857142857,184.0,76.0,28,7.14,1.0,0.09,0.0,0.0,0.21,0.26,0.09,1.22,0.9,0.2,0.09,126.8,0.83,1.0,16.0,2.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.12,1.0,Croatia (3. HNL Zapad),0.84,93,0.0,0.0,4.761904761904762,0.1222757955641273,€0 - €28K,14000.0
19,Ilija Đilas,12.0,1039.0,86.58333333333333,188.0,78.0,22,6.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.43,0.0,0.0,60.0,0.0,0.0,0.0,0.0,0.0,1.13,-40.96,-0.04,14.0,5.0,15.0,0.0,1.0,0.0,0.0,Croatia (Druga HNL),0.0,92,34.0,-0.830078125,0.0,0.05774783445620789,€0 - €55K,27500.0
20,Toni Aliaj,13.0,1061.0,81.61538461538461,182.0,77.0,23,6.83,0.0,0.0,0.5,0.0,0.0,1.82,0.08,1.44,0.87,0.25,3.05,146.2,0.85,1.0,21.0,2.54,39.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.13,6.0,Croatia (3. HNL Istok),0.8,86,0.0,0.0,0.0,0.13779453345900095,€0 - €16K,8000.0
21,Mihovil Klapan,14.0,1244.0,88.85714285714286,177.0,74.0,27,6.69,2.0,0.14,0.63,0.0,0.7,0.16,0.07,0.65,0.94,0.12,0.0,165.6,0.57,3.0,35.0,0.51,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.06,0.0,Croatia (Prva HNL),0.61,95,0.0,0.0,2.857142857142857,0.13311897106109324,€0 - €45K,22500.0
22,Matko Kramer,15.0,1350.0,90.0,190.0,87.0,25,6.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.38,0.0,0.0,80.1,0.0,0.0,0.0,0.0,0.0,1.33,0.0,-0.01,7.0,4.0,20.0,0.0,1.0,0.0,0.0,Croatia (3. HNL Jug),0.0,85,31.0,0.0,0.0,0.05933333333333333,€0 - €8K,4000.0
23,Đevad Selman,15.0,1331.0,88.73333333333333,179.0,69.0,19,7.15,0.0,0.0,0.38,0.0,0.0,1.27,0.0,0.14,0.72,1.0,0.0,7.4,1.0,0.0,16.0,0.14,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.27,0.0,Croatia (3. HNL Jug),0.56,79,0.0,0.0,0.0,0.005559729526671676,€22K - €210K,116000.0
24,Andrej Šimunec,12.0,1014.0,84.5,193.0,86.0,27,6.54,0.0,0.0,0.4,0.0,0.58,0.0,0.0,0.44,0.88,0.0,0.09,109.8,0.89,0.0,7.0,2.22,121.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.24,1.0,Croatia (Druga HNL),0.86,92,0.0,0.0,0.0,0.10828402366863905,€0 - €26K,13000.0
25,Karlo Ivančin,14.0,1143.0,81.64285714285714,169.0,59.0,19,6.94,0.0,0.0,0.13,0.0,1.25,0.6,0.0,1.26,0.88,0.27,0.16,153.4,0.73,2.0,15.0,2.52,77.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.27,6.0,Croatia (3. HNL Jug),0.88,81,0.0,0.0,0.0,0.1342082239720035,€7K - €22K,14500.0
26,Josip Gačić,12.0,1110.0,92.5,183.0,79.0,24,7.19,1.0,0.08,0.33,0.0,0.55,0.18,0.08,0.24,0.91,0.66,0.08,125.8,0.73,3.0,8.0,2.43,131.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,15.0,1.0,Croatia (Druga HNL),0.83,102,0.0,0.0,1.8181818181818181,0.11333333333333333,€12K - €40K,26000.0
27,Stjepan Jagić,12.0,867.0,72.25,186.0,80.0,20,7.02,0.0,0.0,0.0,0.0,0.33,0.1,0.0,0.31,0.88,1.0,0.0,96.9,0.86,3.0,13.0,3.01,109.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.82,1.0,Croatia (3. HNL Jug),0.33,89,0.0,0.0,0.0,0.11176470588235295,€6K - €60K,33000.0
28,Igor Čerina,15.0,1350.0,90.0,186.0,79.0,34,6.97,1.0,0.07,0.08,0.0,1.04,0.14,0.07,0.2,0.84,0.25,0.0,144.3,0.82,4.0,9.0,2.93,169.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.8,1.0,Croatia (3. HNL Jug),1.0,93,0.0,0.0,0.9615384615384615,0.1068888888888889,€0 - €9K,4500.0
29,Ivan Paponja,14.0,1260.0,90.0,179.0,72.0,25,7.06,0.0,0.0,0.2,0.0,0.09,0.0,0.29,0.0,0.77,0.0,0.07,26.2,0.6,0.0,7.0,0.21,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.36,0.0,Bosnia & Herzegovina (Liga 12),0.9,97,0.0,0.0,0.0,0.020793650793650795,€0 - €110K,55000.0
30,Luka Pasariček,12.0,970.0,80.83333333333333,169.0,64.0,24,6.93,2.0,0.19,0.5,0.0,0.99,0.24,0.0,1.48,0.91,0.28,0.37,123.7,0.72,0.0,17.0,1.3,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.97,0.0,Croatia (Druga HNL),0.73,90,0.0,0.0,2.0202020202020203,0.1275257731958763,€0 - €40K,20000.0
31,Kristian Boglić,11.0,978.0,88.9090909090909,188.0,91.0,23,6.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18,0.36,0.0,0.0,62.7,0.0,0.0,0.0,0.0,0.0,1.29,0.0,-0.04,10.0,6.0,12.0,0.0,0.0,0.0,0.0,Croatia (Druga HNL),0.0,88,28.0,0.0,0.0,0.06411042944785277,€0 - €40K,20000.0
32,Marko Mikulić,16.0,1470.0,91.875,185.0,89.0,28,6.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.28,0.0,0.0,71.1,0.0,0.0,0.0,0.18,0.0,2.63,-5.31,-0.01,39.0,11.0,28.0,0.0,0.0,0.0,0.0,Croatia (Prva HNL),0.0,98,78.0,-14.689265536723164,0.0,0.04836734693877551,€0 - €40K,20000.0
33,André Pedrosa,11.0,802.0,72.9090909090909,185.0,78.0,25,7.08,1.0,0.11,0.2,1.0,1.03,0.75,0.34,1.12,0.88,0.2,0.22,115.2,0.79,0.0,9.0,1.35,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.57,1.0,5.27,0.0,Portugal (Liga 3 Sul),0.57,102,0.0,0.0,0.970873786407767,0.14364089775561098,€85K - €275K,180000.0
34,Nsana Simon,12.0,845.0,70.41666666666667,171.0,63.0,22,6.93,1.0,0.11,0.6,0.0,0.53,0.0,0.43,1.17,0.88,0.5,0.11,115.7,0.69,0.0,16.0,1.28,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.86,2.0,Slovenia (1. SNL),0.82,96,0.0,0.0,1.8867924528301885,0.13692307692307693,€40K - €375K,207500.0
35,Patrick Stanić,16.0,1440.0,90.0,183.0,79.0,22,6.78,0.0,0.0,0.0,0.0,0.16,0.14,0.0,0.38,0.87,0.5,0.0,147.5,0.88,3.0,19.0,2.44,167.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.38,0.0,Croatia (3. HNL Istok),0.82,90,0.0,0.0,0.0,0.10243055555555555,€16K - €50K,33000.0
36,Domagoj Pušić,16.0,1273.0,79.5625,189.0,83.0,31,7.01,1.0,0.07,0.29,1.0,1.46,0.33,0.0,0.99,0.91,0.23,0.28,170.9,0.6,0.0,16.0,0.78,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.83,0.0,4.38,2.0,Croatia (3. HNL Istok),0.83,100,0.0,0.0,0.684931506849315,0.13424980361351138,€20K - €65K,42500.0
37,Matija Mišić,12.0,1097.0,91.41666666666667,174.0,72.0,30,6.9,3.0,0.25,0.33,0.0,2.55,0.27,0.16,1.15,0.88,0.53,0.33,150.7,0.83,0.0,37.0,1.07,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.35,2.0,Croatia (Druga HNL),0.56,92,0.0,0.0,1.1764705882352942,0.13737465815861438,€22K - €70K,46000.0
38,Miguel Assunção,13.0,1200.0,92.3076923076923,189.0,81.0,30,6.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.56,0.0,0.0,7.5,0.0,0.0,0.0,0.0,0.0,1.65,0.0,-0.5,0.0,1.0,1.0,0.0,0.0,0.0,0.0,Portugal (Primeira Divisão - Castelo Branco),0.0,83,2.0,0.0,0.0,0.00625,€5K - €16K,10500.0
39,Paulo Oliveira,14.0,1296.0,92.57142857142857,178.0,75.0,27,7.03,0.0,0.0,0.0,0.0,0.86,0.0,0.07,0.0,0.78,0.0,0.14,30.9,0.57,0.0,12.0,0.28,43.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.54,0.0,Portugal (Campeonato dos Açores - Ponta Delgada),1.0,83,0.0,0.0,0.0,0.023842592592592592,€6K - €20K,13000.0
40,Paulo Oliveira,14.0,1296.0,92.57142857142857,178.0,75.0,27,7.03,0.0,0.0,0.0,0.0,0.86,0.0,0.07,0.0,0.78,0.0,0.14,30.9,0.57,0.0,12.0,0.28,43.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.54,0.0,Portugal (Campeonato dos Açores - Ponta Delgada),1.0,83,0.0,0.0,0.0,0.023842592592592592,€5M - €10.5M,7750000.0
41,Paulo Oliveira,16.0,1440.0,90.0,187.0,82.0,30,7.16,0.0,0.0,0.33,0.0,1.05,0.0,0.12,0.25,0.92,0.0,0.0,165.4,0.81,3.0,6.0,3.5,124.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,13.31,1.0,Portugal (Primeira Liga),0.93,133,0.0,0.0,0.0,0.11486111111111111,€6K - €20K,13000.0
42,Paulo Oliveira,16.0,1440.0,90.0,187.0,82.0,30,7.16,0.0,0.0,0.33,0.0,1.05,0.0,0.12,0.25,0.92,0.0,0.0,165.4,0.81,3.0,6.0,3.5,124.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,13.31,1.0,Portugal (Primeira Liga),0.93,133,0.0,0.0,0.0,0.11486111111111111,€5M - €10.5M,7750000.0
43,Emanuel Oliveira,11.0,990.0,90.0,192.0,78.0,31,6.96,0.0,0.0,0.0,0.0,0.3,0.61,0.0,0.18,0.88,1.0,0.18,112.0,0.84,3.0,11.0,2.73,123.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,17.09,1.0,Portugal (Liga 3 Norte),0.64,84,0.0,0.0,0.0,0.11313131313131314,€0 - €28K,14000.0
44,Bruno Pinto,13.0,1200.0,92.3076923076923,184.0,90.0,30,7.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.51,0.0,0.0,9.4,0.0,0.0,0.0,0.0,0.0,0.97,0.0,-0.33,2.0,0.0,2.0,0.0,1.0,0.0,0.0,Portugal (Campeonato D`Elite Série 2 Porto),0.0,83,4.0,0.0,0.0,0.007833333333333333,€5K - €16K,10500.0
45,Petar Bosančić,15.0,1350.0,90.0,190.0,83.0,26,7.25,2.0,0.13,0.33,0.0,0.0,0.0,0.2,0.07,0.76,0.0,0.0,19.5,0.85,0.0,16.0,0.2,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8,0.0,Bosnia & Herzegovina (Liga 12),0.92,101,0.0,0.0,0.0,0.014444444444444444,€26K - €275K,150500.0
46,Pedro Vieira,15.0,1380.0,92.0,176.0,78.0,21,7.37,0.0,0.0,0.25,0.0,0.06,0.12,0.2,0.13,0.79,0.33,0.13,42.7,0.84,0.0,21.0,0.52,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.63,0.0,Portugal (Campeonato dos Açores - Ponta Delgada),1.0,91,0.0,0.0,0.0,0.03094202898550725,€7K - €24K,15500.0
47,Luís Pedro,15.0,1380.0,92.0,189.0,74.0,27,7.51,0.0,0.0,0.14,0.0,0.0,0.0,0.2,0.2,0.8,0.33,0.26,39.3,0.77,1.0,21.0,0.65,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.43,0.0,Portugal (Campeonato dos Açores - Ponta Delgada),0.91,84,0.0,0.0,0.0,0.028478260869565217,€9K - €30K,19500.0
48,Rui Cardoso,13.0,1200.0,92.3076923076923,183.0,75.0,28,7.28,0.0,0.0,0.0,0.0,0.24,0.32,0.3,0.23,0.82,0.5,0.15,35.1,0.91,0.0,16.0,0.23,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.83,0.0,Portugal (Campeonato dos Açores - Ponta Delgada),0.96,86,0.0,0.0,0.0,0.02925,€0 - €22K,11000.0
49,Luka Lukić,16.0,1363.0,85.1875,192.0,80.0,21,6.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26,0.4,0.0,0.0,68.5,0.0,0.0,0.0,0.07,0.0,1.06,-16.96,-0.04,6.0,6.0,19.0,0.0,0.0,0.0,0.0,Croatia (3. HNL Zapad),0.0,90,31.0,-1.8278301886792452,0.0,0.050256786500366836,€0 - €70K,35000.0
50,Emanuel Mihalić,17.0,1590.0,93.52941176470588,190.0,81.0,22,7.48,2.0,0.11,1.0,0.0,0.26,0.0,0.11,0.0,0.83,0.0,0.0,35.3,0.88,0.0,10.0,0.68,41.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.23,0.0,Croatia (3. HNL Jug),0.93,86,0.0,0.0,7.692307692307692,0.02220125786163522,€0 - €1.5K,750.0
51,Nino Mohorovičić,17.0,1566.0,92.11764705882354,175.0,75.0,22,7.12,1.0,0.06,0.25,0.0,0.0,0.0,0.23,0.29,0.79,0.31,0.0,36.7,0.62,1.0,13.0,0.17,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.75,0.0,Croatia (3. HNL Jug),0.81,84,0.0,0.0,0.0,0.02343550446998723,€6K - €18K,12000.0
52,Raphael Almeida,15.0,1380.0,92.0,187.0,84.0,28,7.47,1.0,0.07,0.38,0.0,0.0,0.0,0.07,0.07,0.79,0.0,0.0,31.5,0.92,1.0,15.0,0.46,42.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.2,0.0,Portugal (Campeonato dos Açores - Ponta Delgada),1.0,88,0.0,0.0,0.0,0.02282608695652174,€10K - €35K,22500.0
53,Ante Mrmić,16.0,1440.0,90.0,180.0,72.0,30,7.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.56,0.0,0.0,6.1,0.0,0.0,0.0,0.0,0.0,1.06,0.0,-0.5,1.0,1.0,1.0,0.0,2.0,0.0,0.0,Croatia (3. HNL Zapad),0.0,89,3.0,0.0,0.0,0.004236111111111111,€0 - €14K,7000.0
54,Dylan Collard,11.0,990.0,90.0,200.0,96.0,22,6.8,0.0,0.0,0.0,0.0,0.07,0.0,0.0,0.36,0.93,0.0,0.0,105.7,0.82,2.0,3.0,2.82,126.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.82,1.0,Portugal (FPF Liga 3),0.88,87,0.0,0.0,0.0,0.10676767676767678,€95K - €325K,210000.0
55,Dario Miškić,15.0,1350.0,90.0,200.0,96.0,26,7.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.55,0.0,0.0,7.8,0.0,0.0,0.0,0.0,0.0,1.6,-10.6,-0.15,5.0,1.0,2.0,0.0,0.0,0.0,0.0,Bosnia & Herzegovina (Liga 12),0.0,95,8.0,-0.7547169811320755,0.0,0.0057777777777777775,€1.5K - €18K,9750.0
56,André Preto,11.0,990.0,90.0,180.0,76.0,29,6.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18,0.43,0.0,0.0,59.1,0.0,0.0,0.0,0.0,0.0,1.55,0.0,-0.03,9.0,2.0,23.0,0.0,1.0,0.0,0.0,Portugal (Liga 3 Norte),0.0,87,34.0,0.0,0.0,0.0596969696969697,€1K - €12K,6500.0
